Observation,Plot_number,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,psme,x,y
1,1771,3.033333302,12.60000038,-6.300000191,635,82,33,32.0705986,235,109,128,12.23333359,36.08652878,778.9892578,22.10000038,-11.80000019,33.90000153,-5.783333302,12.41666698,1,-120.0291667,48.62083333
2,1675,4.616666794,12.90000057,-3.099999905,1647,275,36,64.40097046,799,143,154,10.9333334,37.18820953,662.7330933,21.89999962,-7.5,29.39999962,-2.633333445,12.78333282,1,-121.0458333,48.17083333
3,675,6.245833397,13.75,-0.433333278,1634,275,26,66.15544891,792,117,129,10.64166641,39.56010056,582.3910522,22.70000076,-4.199999809,26.90000153,0.15000008,13.4333334,1,-121.6125,46.4375
4,3169,5.933333397,13.41666698,-0.883333385,1824,287,51,55.62297058,816,183,194,8.966667175,34.88975525,591.4863281,20.89999962,-4.800000191,25.70000076,-0.466666728,13.21666718,0,-121.6291667,48.69583333
5,898,6.220833302,14.13333321,-1.133333206,1884,315,33,64.28279877,898,144,163,8.208333015,32.18954468,629.6263428,21.29999924,-4.199999809,25.5,-0.633333266,13.94999981,1,-121.4458333,47.19583333
6,3181,2.883333445,10.98333359,-4.099999905,1782,267,62,48.70849609,756,213,213,8.616666794,32.63888931,615.9816284,18.5,-7.900000095,26.39999962,-3.633333445,10.98333359,0,-121.6958333,48.84583333
7,678,8.9375,15.6833334,2.966666698,1880,301,34,61.7706604,881,153,167,11.24166679,43.57234955,528.6695557,24.70000076,-1.100000024,25.80000114,3.266666651,15.60000038,1,-121.9708333,46.4375
8,3738,2.141666651,9.683333397,-4.233333111,1867,275,62,49.0194931,795,217,217,8.316666603,33.53494644,577.9030762,16.60000038,-8.199999809,24.79999924,-3.833333254,9.683333397,0,-121.8458333,48.80416667
9,3425,3.616666555,12.35000038,-4.583333492,1561,258,34,62.37560654,743,140,145,10.0666666,33.66778183,701.2823486,20.79999924,-9.100000381,29.89999962,-4.099999905,12.28333282,0,-120.8541667,47.80416667
10,2313,7.145833492,15.08333397,-0.333333313,1885,297,37,60.23392868,870,154,170,9.658333778,36.17353439,633.1862183,23.10000038,-3.599999905,26.70000076,0.233333349,14.85000038,1,-121.4041667,47.4875
11,1180,9.012499809,15.35000038,3.533333302,1757,261,40,54.61714554,772,167,172,10.52500057,43.49173355,490.3529663,23.70000076,-0.5,24.20000076,3.799999952,15.14999962,0,-122.2625,46.8375
12,390,3.737499952,11.4333334,-2.766666651,1866,314,32,64.01412201,886,143,151,8.925000191,34.7276268,586.4381104,19,-6.699999809,25.70000076,-2.166666746,10.96666718,1,-121.4291667,46.6375
13,3838,4.991666794,12.5666666,-1.783333302,1950,298,56,51.18349457,834,206,214,8.566666603,33.99470901,586.9754028,19.89999962,-5.300000191,25.20000076,-1.25,12.05000019,0,-121.8125,48.70416667
14,716,4.420833588,12.55000019,-2.850000143,1466,260,24,68.91340637,727,105,112,9.408333778,34.46276093,631.4034424,20.60000038,-6.699999809,27.29999924,-2.166666746,12.21666718,1,-121.3208333,46.62916667
15,6,7.325000286,14.96666718,0.26666674,1815,288,36,60.02980042,837,152,165,9.400000572,36.43410873,607.3770142,22.70000076,-3.099999905,25.80000114,0.700000048,14.8166666,1,-121.5125,47.2125
16,2731,2.849999905,12.41666698,-6.183333397,862,119,40,40.56033707,350,128,143,11.71666622,35.18518448,769.506897,21.60000038,-11.69999981,33.29999924,-5.766666412,12.26666641,1,-120.4375,48.67916667
17,4263,8.066666603,16.39999962,0.100000024,921,167,11,76.38127899,482,54,60,11.83333397,38.41991425,667.755188,26.70000076,-4.099999905,30.80000114,0.800000072,16.33333397,1,-121.3625,45.82916667
18,3662,5.829166889,15.03333378,-3.333333254,732,133,14,67.95108032,370,63,63,11.34166718,35.33229446,753.7947998,24.20000076,-7.900000095,32.10000229,-2.650000095,15.03333378,0,-120.6458333,47.27916667
19,3062,4.912499905,12.53333378,-1.833333373,1971,303,48,58.32834625,902,185,198,9.658332825,36.44654083,599.9246826,20.39999962,-6.099999905,26.5,-1.616666675,12.36666679,0,-121.3791667,48.30416667
20,2266,4.925000191,13.83333302,-3.583333492,1749,308,28,68.15432739,864,128,143,8.716667175,30.69248772,714.3798828,21.60000038,-6.800000191,28.40000153,-2.850000143,13.6833334,1,-121.1458333,47.4125
21,517,8.358333588,16.18333435,0.966666639,1494,255,17,70.60555267,738,91,103,11.19999981,38.75432587,623.4830322,25.70000076,-3.200000048,28.90000153,1.599999905,16,1,-121.6875,45.75416667
22,1522,5.445833206,12.55000019,-0.849999964,1938,295,57,51.52320099,832,208,209,8.125,34.28269958,556.4639282,19.29999924,-4.400000095,23.69999886,-0.466666669,12.3166666,1,-122.0208333,48.72916667
23,2825,4.233333588,13.3166666,-4.316666603,860,135,28,52.66864395,385,104,111,11.60000038,35.80246735,729.343811,22.60000038,-9.800000191,32.40000153,-3.783333302,13.25,1,-120.2791667,48.0625
24,3255,4.758333206,13.0666666,-3.016666651,1708,284,36,64.83243561,829,142,156,10.86666679,37.08760071,662.3505859,22.10000038,-7.199999809,29.29999924,-2.516666651,12.83333302,0,-121.1125,48.20416667
25,3498,4.583333492,12.73333359,-2.799999952,2256,365,44,62.39920425,1063,185,205,9,33.21033096,639.2869873,20.60000038,-6.5,27.10000038,-2.266666651,12.41666698,0,-121.3458333,47.8625
26,996,10.04583359,16.78333282,3.783333302,2572,420,36,65.13970184,1209,178,193,10.17500019,40.86345291,533.2169189,25.29999924,0.400000006,24.89999962,4.300000191,16.61666679,1,-122.2875,46.04583333
27,94,6.804166794,13.76666641,0.983333349,2538,411,38,63.1224823,1184,188,202,10.09166718,40.69220352,527.3840332,22.20000076,-2.599999905,24.80000114,1.583333373,13.25,1,-122.1541667,45.97916667
28,1748,4.0625,13.75,-5.550000191,481,57,28,25.30542755,156,92,120,12.125,35.45321655,792.7659302,23.10000038,-11.10000038,34.20000076,-5.033333302,10.1833334,1,-119.7125,48.77083333
29,699,7.1875,14.5666666,0.533333361,1985,328,29,65.79973602,951,140,155,11.07499981,40.41970825,577.9553223,23.79999924,-3.599999905,27.39999962,1.066666722,14.36666679,1,-121.8625,46.19583333
30,1340,6.391666889,13.19999981,0.75,2418,390,41,62.5397644,1130,184,198,9.850000381,40.53498077,515.7423096,21.39999962,-2.900000095,24.29999924,1.233333349,12.83333302,0,-122.0708333,46.37083333
31,4399,4.012500286,12.48333359,-3.549999952,1318,235,23,67.46032715,650,104,106,9.591667175,33.77347565,661.822998,20.70000076,-7.699999809,28.40000153,-2.866666555,12.28333378,1,-121.0375,46.72083333
32,4260,7.887499809,16.01666641,-0.150000051,1227,224,13,78.0816803,646,69,79,12.35833359,39.61004257,658.6664429,26.39999962,-4.800000191,31.20000076,0.716666639,15.91666603,1,-121.5708333,46.02916667
33,1070,8.658332825,15.85000038,2.033333302,2152,352,31,65.08111572,1022,153,166,11.11666679,41.32589722,568.949707,25,-1.899999976,26.89999962,2.516666651,15.73333359,1,-122.0208333,46.19583333
34,1622,1.979166627,10.83333302,-5.716666698,1745,283,37,59.25077057,805,163,163,9.191666603,32.13869476,681.0501709,18.79999924,-9.800000191,28.59999847,-5.099999905,10.83333302,1,-120.9625,47.4875
35,2274,6.287499905,15.28333378,-2.599999905,1183,218,17,73.13887787,610,78,78,10.20833302,33.69086838,735.1657715,23.79999924,-6.5,30.29999924,-1.883333325,15.28333378,1,-121.0291667,47.2875
36,4675,8.641666412,17.41666603,0.099999905,565,105,7,76.73973846,302,33,33,12.9333334,39.55147934,707.6781006,28.39999962,-4.300000191,32.70000076,0.799999952,17.41666603,0,-121.0708333,45.8875
37,2621,5.091666698,15.15000057,-4.983333111,453,59,24,30.89189148,163,78,95,12.38333321,34.98116684,825.0256958,24.70000076,-10.69999981,35.40000153,-4.5,14.86666679,1,-119.7291667,48.42083333
38,2381,5.533333302,14.63333321,-3.283333302,1289,234,21,70.46357727,653,94,102,9.916666985,32.83664322,737.5707397,23.10000038,-7.099999905,30.20000076,-2.549999952,14.60000038,1,-120.9625,47.3375
